,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Project,Sector,Target Profile,Deal Type,Max Selling Stake,Ticket Size ($Mn),Status,Company Name,Date Onboarded,Deal Lead,Teaser,IM,Model,VDR,Consultant
Americium,Services,"Profile: A multinational corporation providing test and measurement solutions across Africa. It operates in six African countries and is structured into four core business units: product sales, services (including testing, commissioning, and maintenance), a repair and calibration lab (ISO 17025 certified), and turnkey project solutions across industries such as energy, mining, oil/gas, and manufacturing.
Revenue: USD 2,886,502
EBITDA: USD 576,760
Total Assets: USD 1,745,196",Equity & Debt,n/a,6.0,Open,Amotech Africa,25 January 2024,James O,Yes,No,No,Yes,n/a
Cesium,Agriculture,"Profile: The target is a prominent producer of high-quality breads based in Kisumu city and supplying the Western region of Kenya.
Revenue: USD
EBITDA: USD
Total Assets: USD ",Equity & Debt,,2.0,Open,CIBO Industries Limited,,Duncan M,,,,,n/a
Yttrium,Agriculture,"Profile: A poultry farm offering quality farm fresh organic eggs with over 20,000 birds seeking capital for working capital and Capital expenditure that will see them rise to 100,000 egg laying birds
Revenue: USD 676,093
EBITDA: USD 146,384
Total Assets: USD 659,548",Debt,,0.5,Open,Busia Chicken,12 April 2024,Amos G,Yes,Yes,Yes,Yes,n/a
Thorium,Agriculture,"Profile: A leading aquaculture company in Kenya that is on the cusp of exportation while supporting 2,000 SHF. The comapny has contracts with the leading supermarket chain store in the country while sourcing all its fish from lake Victoria.
Revenue: USD 1.7 Mn
EBITDA: USD 328,400
Total Assets: USD 1.47 Mn",Debt,,2.0,Closed & Reopened,Camino Ruiz ,18 March 2024,Amos G,Yes,Yes,Yes,Yes,n/a
Samarium,Agriculture,"Profile: A founder led enterprise with over 30 years experience in the cashew industry seekign working capital to finance supply contracts to local cashew processors. Contracts are for a combined total of 7,000 Tonnes valued at approximately USD 5 million
Revenue: USD 1.3 Mn
EBITDA: USD 112,619
Total Assets: USD 229,585",Debt,,1.0,Open,Babu Babu Commodities,18 July 2024,Amos G,Yes,,,Yes,n/a
Nihonium,Agriculture,"Profile: The target focuses on waste reduction in the Macadamia insutry trading in Grade B macadamia Kernel and Shells. The Kernels are processed extracting crude oils for the cosmetic industry. The target seeks working capital financing for supply contracts with a Spanish processor for voules up to 42 Tonnes workth up to USD 0.5 million 
Revenue: USD 245,232
EBITDA: USD 19,724
Total Assets: USD 280,620",Debt,,1.0,Open,The Big Thunder Nut,18 July 2024,Amos G,Yes,,,,n/a
Fermium,Agriculture,"Profile: The target is a supplier of fresh fruits and vegetables to one of the leading supermarkets in kenya with over 50 branches country wide and aggregates the supply from over 1000 SHF.   
Revenue: USD 4.9 Mn
EBITDA: USD 149,534
Total Assets: USD 611,246",Equity,Majority,3.0,Open,Jarine Limited,24 May 2024,Amos G,Yes,Yes,Yes,Yes,n/a
X,Agriculture,"Profile: xx 
Revenue: USD
EBITDA: USD
Total Assets: USD ",Equity,,1.0,On Hold,Harvest Berry Avocado,5 May 2024,Amos G,,,,,n/a
Bluebell,Agriculture,"Profile: The company buys the produce from farmers in Kenya, processes and exports them to the European market. The target has a base of 500+ suppliers who supply them with Avocado and Macadamia nuts from various regions in Kenya like Muranga, Kirinyaga, Embu, Meru, Nakuru and newly developing areas like Bomet, Kitale and Eldoret regions. Currently the target company is in the plans of expanding their processing capacity, increasing the supply base and expanding their market base to UK, Russia, US, China and Middle East.
Revenue: USD 2.02 Million
EBITDA: USD 0.29 Million
Total Assets: USD 0.5 Million",Debt,,1.8,On Hold,Kwalito,,Evans M,Yes,Yes,Yes,Yes,n/a
Barium 111,Agriculture,"Profile: One of Uganda's leading fresh produce exporter in fruits and vegetables. Founded in 2011 and fully locally owned. The company supports over 1,000 farmers from across Uganda and has been able to raise USD 3 million from various investors to date.
Revenue: USD 2.1 Mn
EBITDA: USD 114,221
Total Assets: USD 2.8 Mn",Equity & Debt,Minority,2.0,Open,KK Foods,21 December 2023,Amos G,Yes,No,No,Yes,Peter K
Actinium,Manufacturing,"Profile: Specializes in the manufacturing and repackaging of a wide range of hygiene and healthcare products, including sanitizers, disinfectants, and detergents.
Revenue: USD 466,033
EBITDA: USD 138,010
Total Assets: USD 293,419",Debt,n/a,0.5,Open,Arch Ventures,26 July 2024,James O,Yes,No,No,Yes,n/a
Gadolinium,Construction,"Profile: A profitable contractor offering HVAC (Heating, Ventilation and Air Conditioning), MVAC and Plumbing services in East Africa. 
Revenues: USD 1.4Mn
EBITDA: USD 70,000
Total Asset: USD 1.2Mn",Equity & Debt,Minority,1.0,Open,Gilfilian Airconditining,1 November 2023,Amos G,Yes,No,No,Yes,n/a
Chromium,Construction,"Profile: The Target is a one of Kenya’s leading integrated constructions material manufacturers with over 40 years of track record in constructions and infrastructure development. Since its founding in 1975, the company has perfected its process to offer high quality construction material products such as concrete blocks, paving blocks, asphalt and ready mix, among others. In addition, the company is currently undertaking the construction of the a 2000 units affordable housing project in Kisumu.  
Revenue: USD 18 Mn
EBITDA: USD 0.7 Mn
Total Assets: USD 25Mn",Equity,40%,5.0,Open,Kisumu Concrete Products Ltd,26-Jun-24,Duncan M,Yes,No,Yes,Yes,n/a
Topaz,Education,"Profile: The target is a school of medical and health sciences accredited by Technical and Vocational Education and Training Authority (TVETA) and The Nursing Council of Kenya. The college has over 3,000 students under training in medical and health related courses at Diploma, Certificate, and artisans' levels. In addition, the group has a fully operational hospital with 75 inpatient beds located within the vicinity of the college.
Revenue: USD  2.27Mn
EBITDA: USD 0.99Mn
Total Assets: USD 8.55Mn",Equity & Debt,Majority,10.0,Open,Thika School of Medical and Health Sciences,28 November 2022,Evans M,,Yes,Yes,Yes,n/a
Fermium,Education,"Profile: The medical college started in 2008, stands as
a beacon of healthcare education currently with over 1,400 students. The institution has garnered approval from the Technical and Vocational Education and Authority of Kenya (TVETA). In October 2011, the Nursing Council of Kenya (NCK) further accredited the college to train nurses under the Kenya Registered Community Health Nursing Program. 
Revenue: USD  1.28Mn
EBITDA: USD 0.453Mn
Total Assets: USD 1.03Mn",Equity & Debt,Minority,8.1,Open,NWH College,1 July 2024,Evans M,Yes,No,Yes,No,Kevin K
Lawrencium,Education,"Profile: Established in 1993, the target is one of the fast-growing Group of Schools in Uganda with a cumulative student population of 3,000. It encompasses six high school campuses, one primary school and a university.
Revenue: USD 1.342 Mn
Total Assets: USD 0.37Mn",Equity,Minority,5.0,Open,St. Lawrence University,3 April 2024,Brenda C,No,No,No,Yes,n/a
Plutonium,Education,"Profile: The target is one of the fast-growing Group of Schools in Kenya with a cumulative student population of 8,000 and over 300 teaching staff.
Revenue: USD 4.5Mn
EBITDA: USD 2.0Mn
Total Assets: USD 11.6Mn",Equity & Debt,Minority,10.0,Open,Lakewood Group of Schools,13 February 2024,Sheilla W,Yes,No,Yes,Yes,Kevin K
Bromine,Agriculture,"Profile: A supplier of agriculture equipment to small, medium, and large-scale farmers and food processors. The target focuses on mechanizing agriculture in Africa. Has a fully owned network of regional offices and operations in Kenya, Uganda, Rwanda and Tanzania, and strategic business partnerships in Brazil.
Revenue: USD  3.3Mn
EBITDA: USD 0.2Mn
Total Assets: USD 5.7Mn",Equity & Debt,Majority,1.0,Open,BrazAfric Group of Companies,22 March 2023,James O,Yes,No,Yes,Yes,n/a
Nobelium,Energy,"Profile: The target, a solar EPC company based in Uganda, has delivered over 24MW of solar energy in the last 11 years. The target is shifting from being an EPC company to being a solar developer for C&I clients in Uganda and has a huge pipeline of C&I projects in place.
Revenue: USD 737.6k
EBITDA: USD (175.1k)
Total Assets: USD 678.1k ",Equity & Debt,Minority,8.0,Open,All in Trade,28 June 2024,Sheilla W,n/a,n/a,n/a,Yes,Peter K
Zirconium,Energy,"Profile: The Company is a for-profit social enterprise operating in Zimbabwe since March 2013. Its two operating units include Solar Home Systems (SHS) and Solar irrigation and water supply schemes. The company has sold over 25,000 SHS units which are all active PAYG clients with a backlog of over 300,000 households waiting for SHS units. The products consist of solar panel batteries and broad range of appliances – lights, mobile phone chargers, radio and tv.
Revenue: USD 0.81 Million
EBITDA: USD 0.04 Million
Total Assets: USD 1.1 Million",Debt,,1.0,Open,Zonful Energy,,Evans M,Yes,Yes,Yes,Yes,Peter K
Selenium,Energy,"Profile: The target is involved in supply, installation and commissioning of Hybrid smart solar and hydroelectric systems. They employ the use Artificial Intelligence and Internet of Things to manage, monitor, control and regulate the systems.
Revenue: USD 0.3 Mn
EBITDA: USD 89K
Total Assets: USD 0.3 Mn",Debt,Minority,1.0,Open,MobileMart,5 July 2024,Brenda C,Yes,Yes,Yes,Yes,Peter K
Boron,Energy,"Profile: The target is a premier solar energy firm based in Lagos, Nigeria. The company excels in delivering complete turnkey solar EPC solutions which include design, detailed engineering, procurement, solar installation, and commissioning services. They cater to various needs with offerings that include residential solar, commercial and industrial solar, power and energy audits, as well as solar and power as a service.
Revenue: USD
EBITDA: USD
Total Assets: USD ",Debt,,1.0,Open,3KM Energy Systems Ltd,,Duncan M,No,No,No,No,Peter K
Lawrencium,Energy,"Profile: The target, incorporated in Uganda in 2018, is planning to develop an 8.6MW hydroelectric power project in Uganda, with a capacity to generate 35.76GWh annually. The target company is an experienced developer and derisking has already been done, such as a feasibility study. ",Equity & Debt,Minority,14.0,Open,Country Energy (Uganda) Limited,10 September 2024,Sheilla W,Yes,No,No,No,Peter K
Radium,Financial Services,"Profile: The target is recognized in the financial sector for its operational efficiency and profitability. It stands out for having Non-Performing Loans (NPLs) significantly lower than the market average, indicative of its financial robustness. It is known for maintaining strong client relationships and primarily caters to Small and Medium-sized Enterprises (SMEs) and corporate clientele.
Interest Income:  USD 32.6Mn
Net Interest Income: USD 15.4Mn
Total Assets: 339.96Mn",Equity,Minority,20.0,Open,Victoria Commercial Bank,17 October 2023,Duncan M,Yes,Yes,Yes,Yes,Kevin K
Barium II,Financial Services,"Profile: The Company's has leveraged technology to provide innovative tailor-made loan facilities to micro-entrepreneurs in Kenya and across Africa. Their aim is to provide instant flexible loans to small-holder farmers and entrepreneurs thus playing their role in improving their quality of life.
Net Interest Income: USD 0.13Mn
Total Borrowings: USD  0.12Mn
Total Loans: USD  0.14Mn
Total Assets: USD 0.19Mn",Debt,n/a,2.0,Open,Brisk Credit ,5 September 2023,Cliff N,Yes,n/a,n/a,Yes,n/a
Cobalt,Financial Services,"Profile: A women-focused financial institution, the MFB empowers women in wealth creation without collateral, with a wide presence in the industry, sustainable practices, and female-friendly branches. It employs 2,000+ people, operates in rural areas, and serves 1,000,000+ clients via 229 offices across 45 Kenyan counties.
Net Interest Income: USD 24.2Mn
Total Deposits: USD 157.7Mn
Total Loans: USD 134.1Mn
Total Assets: USD 231.8Mn",Equity & Debt,Majority,10.0,Open,KWFT,19 July 2023,Brenda C,Yes,n/a,n/a,Yes,n/a
Chlorine,Agriculture,"Profile: Provides a comprehensive ""one stop shop"" solution and
services to smallholder poultry farmers across Western Kenya by selling day-old chicks, and selling poultry feed, supplying medications and vaccines, delivering training services, extension services (advise farmers and providing personnel to vaccinate chicken) and crucially guaranteeing markets to purchase farmer's mature chickens and eggs.
Revenue: USD 478,868
EBITDA: USD 35,485
Total Assets: USD 363,282",Equity & Debt,n/a,0.5,Closed,Chicken Basket,1 July 2024,James O,Yes,Yes,Yes,Yes,n/a
Fluoride,Financial Services,"Profile: A profitable licensed micro-finance bank, an industry leader in provision of loans to agriculture and Agri-related value chain and suppliers.
Interest Income: USD 3.7Mn
Net Interest Income: USD 1.5Mn
Net Book Value: USD 3.5Mn",Debt,Majority,3.0,Closed & Reopened,SUMAC MFB,14 May 2019,Duncan M,Yes,Yes,Yes,Yes,n/a
Gold,Financial Services,"Profile: The target is a leading regional financial services company focused on four strategic divisions namely Pensions Management, Insurance Brokerage, Training and Actuarial Services. The group has operations in Kenya, Uganda and Zambia.
Revenue: USD  1.89Mn
EBITDA: USD 0.24Mn
Total Assets: USD 1.41Mn",Equity,Majority,3.0,Open,Octagon ,16 April 2023,Evans M,Yes,Yes,Yes,Yes,n/a
Tungsten,Financial Services,"Profile: The target is a licensed credit-only Digital Credit Provider with 2,000+ active loan clients having served cumulatively 20,000+ clients. The company aims to address SME access to financial services challenges that traditional banking poses i.e. accessibility, turnaround time & personalized customer care
Interest Income: USD 0.8Mn
Net Interest Income: USD 0.8Mn
Total Assets: USD 3.9Mn",Debt,n/a,1.0,On Hold,Jijenge Credit Ltd,6 February 2023,Brenda C,Yes,Yes,Yes,Yes,n/a
Neon,Financial Services,"Profile: Non-deposit taking microfinance institution, providing financial services to micro-entrepreneurs and small-holder farmers. The target delivers financial services that bring financial and social impact to their clients through three core financial products in Group Lending, Individual Loans, and Agricultural loans.  The target has 25 branches in Kenya. 
Interest Income: USD 2.4Mn
Net Interest Income: USD 1.8Mn
Total Assets: USD 8.3Mn",Debt,n/a,2.0,Open,Musoni MFI,18 November 2022,Duncan M,Yes,n/a,Yes,Yes,n/a
Scandium,Financial Services,"Profile: A microfinance with 9 office branches targeting the underserved communities in Kenya, enabling clients with no reliable electricity access to renewable energy products. 
Interest Income: USD 343k
Net Interest Income: USD 268k
Net Book Value: USD 1.07Mn",Debt,n/a,1.0,Open,Rafode,16 May 2022,Sheilla W,Yes,No,No,Yes,n/a
Curium,Financial Services,"Profile: A microfinance bank in Kenya that has been in operations for over 4 decades operating 4 branches in Kenya. The bank is regulated by the central bank of Kenya and is a member of the Kenya Bankers Association
Interest Income: USD 9.01Mn
Net Interest Income: USD 4.03Mn
Net Book Value: USD 10.37Mn",Debt,n/a,10.0,Open,Middle East Bank Kenya,10 May 2022,Duncan M,Yes,n/a,Yes,Yes,n/a
Radium III,Financial Services,"Profile: The bank provides retail and corporate banking with a focus on SMEs in manufacturing, renewable energy, private healthcare, wholesale business & agriculture.
Interest Income: USD 20.4Mn
Net Interest Income: USD 7.3Mn
Total Assets: USD 173.5Mn",Debt,n/a,10.0,Open,Credit Bank ,15 December 2021,Sheilla W,Yes,No,Yes,Yes,n/a
Hydrogen,Financial Services,"Profile: The target is a credit-only microfinance institution engaged in provision of customized financial solutions through loans, guarantees and insurance products to Individuals, Micro, Small and Medium Enterprises (MSMEs) with focus to uplifting lives of the target clients.  The Company specialises in providing logbook loans, business loans, import duty financing, insurance, guarantees & bonds.
Interest Income: USD 2.6Mn
Net Interest Income: USD 1.6Mn 
Total Assets: USD 7Mn",Debt,n/a,2.0,Open,Edenbridge ,9 November 2021,Brenda C,Yes,Yes,Yes,Yes,n/a
Krypton,Financial Services,"Profile: The target is a development finance institution focused on financing top-tier corporates in agriculture, manufacturing, tourism, housing, and trade.
Interest Income: USD 10.8Mn
Net Interest Income: USD 2.5Mn
Total Assets: USD 119.8Mn",Debt,n/a,20.0,Open,Development Bank,16 September 2021,Sheilla W,Yes,No,No,Yes,n/a
Nitrite,Financial Services,"Profile: Mid-tier bank with over 50 branches across major towns in Kenya. The target has a loan a book of USD 400Mn of which 80% is advanced to SMEs
Interest Income: USD 80Mn
Net Interest Income: USD 60Mn
Total Assets: USD 130Mn",Debt,n/a,34.5,Closed,Family Bank,10 December 2020,Evans W,Yes,Yes,Yes,Yes,n/a
Radon,Financial Services,"Profile: A tier 3 bank with 7 branches across major Kenyan towns focused on corporate banking. The Target is funded by customer deposits and shareholders' funds with no borrowings.
Interest Income: USD 11Mn
Net Interest Income: USD 5Mn
Net Book Value: USD 110Mn",Debt,n/a,10.0,On Hold,Paramount Bank,7 April 2021,Evans W,Yes,No,n/a,n/a,n/a
Dubnium,Technology,"Profile: A tech startup established in late 2023 that specializes in providing tax compliance software solutions. Their flagship product simplifies tax compliance by allowing businesses to issue tax-compliant invoices directly from mobile devices or computers. The company serves a wide range of businesses, from small enterprises to large corporations, and is actively expanding its services across Africa.
H1 2024 Revenue: USD 67,045
H1 2024 EBITDA: USD (53,938)
H1 2024 Total Assets: USD 104,515",Equity,Minority,1.5,Open,DigiTax,21 August 2024,James O,No,No,No,No,Florent N
Project Manganese,Financial Services,"Profile: The Group comprises three primary subsidiaries: General Insurance, Life Assurance, and Investment Managers Limited. In terms of market share, the General Business holds the 7th position out of 37, the Life Business holds the 10th position out of 25, and the Investment Business holds the 10th position out of 29 as of December 2022.
Revenue: USD  73.06Mn
EBITDA: USD -2.34Mn
Total Assets: USD 181.42Mn",Equity & Debt,Majority,25.0,Open,Madison Insurance,30 August 2023,Evans M,Yes,Yes,Yes,Yes,n/a
Tin,Financial Services,"Profile: The Target is a tier II bank licensed by the by the Central Bank of Uganda to provide savings and lending products to different clients. The bank offers a variety of savings and lending products tailored to meet client demand, with a special focus on the business community in the informal sector particularly in the transport industry and out-growers in the extended agriculture value chain. 
Revenue: USD 2 Mn
EBITDA: 
Total Assets: USD 15Mn",Debt,,5.0,Open,Yako Bank Uganda Ltd,13-May-24,Duncan M,Yes,n/a,Yes,Yes,Peter K
Rhodium,Financial Services,"Profile: The Company is a non-deposit-taking financial institution registered in Kenya under the Companies Act. It provides credit to individuals, micro, small, and medium enterprises (MSMEs), with a focus on the healthcare sector.  
Revenue: USD 0.2 Mn
EBITDA: 
Total Assets: USD 5Mn",Debt,,1.0,Open,Tip-point Capital ,21-Jun-24,Duncan M,Yes,No,No,No,n/a
Cerium,Financial Services,"Profile: The target is factoring company that specializes in the financing of working capital for SMEs in Kenya through invoice discounting and LPO financing   
Revenue: USD 0.09 Mn
EBITDA: 
Total Assets: USD 0.4 Mn",Debt,,0.4,Open,Kuza Factors Ltd,21-Jun-24,Duncan M,Yes,No,No,No,n/a
Iridium,Financial services,"Profile: A non deposit taking lending institution with a focus on renewable energy established in 2021 and a loan book of KES 66 million as of December 2023 
Revenue: USD 
EBITDA: USD
Total Assets: USD ",Debt,,1.0,On Hold,Huduma Credit Ltd,12 January 2024,Amos G,Yes,No,No,No,n/a
Granite,Financial services,"Profile: The target is a licensed tech enabled lender focused on supporting micro businesses in Kenya and Uganda by offering short-term unsecured business loans. 
Interest income: USD 23 Mn
EBITDA: USD -0.3 Mn
Total Assets: USD  20Mn",Debt,n/a,10.0,Open,4G Capital ,3 April 2024,Brenda C,Yes,n/a,n/a,Yes,Kevin K
Project Zinc,Financial Services,"Profile: xx 
Revenue: USD
EBITDA: USD
Total Assets: USD ",Equity,,10.0,Open,Asante Financial ,19 August 2024,Evans W,No,No,No,No,n/a
Fluoride II,FMCG,"Profile: The target is an exclusive distributor of a leading global FMCG products manufacturers. The target has developed a robust route to market enabling it to distribute across the country.
Est: 1998
Revenue: USD 28Mn
EBITDA: USD 1.2Mn
Total Assets: 10Mn",Equity & Debt,Majority,10.0,On Hold,Bowip Agencies,4 November 2021,Sheilla W,Yes,No,Yes,Yes,n/a
Acceleration,FMCG,"Profile: A leading FMCG distributor in Kenya, operating nine branches across various counties. It specializes in the distribution and wholesale trade of high-quality consumer goods, partnering with reputable brands and manufacturers to ensure timely delivery and excellent service. The company's extensive network of representatives and a fleet of over 180 delivery trucks enable it to serve the Kenyan wholesale and retail markets efficiently.
Revenue: USD 311Mn
EBITDA: USD 5.9Mn
Total Assets: USD 54Mn",Equity,40%,38.5,Open,Kanini Haraka,27-May-25,Duncan M,Yes,Yes,Yes,Yes,Kevin K
Fluoride III,Healthcare,"Profile: The hospital is focused on providing quality medical services to the rural communities residing in the western part of Kenya. The hospital is a level 4 hospital with a network of 4 branches with 212 bed capacity.
Revenue: USD 2.78Mn
EBITDA: USD 0.74Mn
Total Assets: 1.8Mn",Equity & Debt,Majority,12.6,Open,Africa Inuka Hospital,7 October 2022,Evans M,Yes,Yes,Yes,Yes,n/a
Platinum II,Healthcare,"Profile: A leading distributor for pharmaceutical products in Kenya with over 6,000 SKU and 30 distribution centres in the country via physical branches, 1000 motor bikes and 100 vehicles. The company is constructing a factory to enable it undertake manufacturing of some of the fast-moving generic medicines it distributes
Revenue: USD  50.77Mn
EBITDA: USD 3.71Mn
Total Assets: USD 18.27Mn",Debt,n/a,20.0,On Hold,Philmed,29 May 2023,Evans M,Yes,Yes,Yes,Yes,n/a
Antimony,Technology,"Profile: An innovative marketplace startup, giving retailers direct access to diverse products at competitive prices from manufacturers. The app-based marketplace streamlines procurement, boosting profitability and operational efficiency. Additionally, the POS and Wallet App offer business management tools, enabling payment processing, inventory management, and access to microfinancing, strengthening retailers' operations.
Revenue: USD 57,982
EBITDA: USD (13,783)",Equity & Debt,Minority,0.5,Open,Faida Marketplace,1 October 2024,James O,Yes,No,No,Yes,Florent N
Quartz,Manufacturing,"Profile: A diversified conglomerate of companies with interests in manufacturing of plastics and allied products, plastic water tanks, mobile toilets, septic tanks,  cosmetic products, snacks, spice products, sanitation solutions and construction related activities. The target is the market leader with unmatched brand reputation, particularly with its water storage products.
Revenue: USD 28.8Mn
EBITDA: USD -1.2Mn
Total Assets: USD 25Mn",Debt,n/a,11.0,On Hold,Flame Tree Group,28 September 2021,James O,Yes,No,No,Yes,n/a
Lithium ,Healthcare,"Profile: A private hospital mainly catering for corporate clients through an innovative partnership program with SMEs to provide services to their staff.
Revenue: USD 2.6Mn
EBITDA: USD 0.8Mn
Total Assets: 1.7Mn",Equity,Majority,6.0,Closed,Valley Hospital ,3 September 2021,Evans W,Yes,Yes,Yes,Yes,n/a
Cerium,Healthcare,"Profile: Fast-growing distributor of quality pharmaceuticals, non-pharmaceuticals hospital consumables and medical equipment to private and public hospitals in Kenya.
Revenue: USD 0.6Mn
EBITDA: USD 0.3Mn
Total Assets: USD 0.4Mn",Debt,n/a,1.0,Open,Kenark Healthcare,25 September 2022,Evans W,Yes,No,No,Yes,n/a
Sodium,Healthcare,"Profile: An outpatient healthcare facility focussing on delivering quality, professional, aﬀordable, eﬃcient healthcare to women and their loved ones.
Est: August 2017
Revenue: USD 0.7Mn
EBITDA: USD 0.3Mn
Total Assets: USD 0.3Mn",Debt,n/a,1.5,Open,LaFemme Healthcare,29 August 2022,Sheilla W,Yes,Yes,Yes,Yes,n/a
Osmium,Healthcare,"Profile: Offers a comprehensive range of therapeutic services aimed at enhancing the well-being of individuals across Sub-Saharan and East Africa. Their multidisciplinary approach includes physiotherapy, speech and language therapy, occupational therapy, clinical psychology, and more, making them the largest independent outpatient therapy and rehabilitation center in the region.
Revenue: USD 255,175
EBITDA: USD (5,573)
Total Assets: USD 126,959",Equity & Debt,Minority,6.0,Open,Inspire Wellness Center,18 August 2024,James O,No,No,No,No,n/a
Gallium,Healthcare,"Profile: The target is a 200+ bed capacity hospital with 11 branches across Nairobi and its environs focused on providing medical services to lower end to middle class. The hospital has completed setting up an Oncology Centre to serve patients from East and Central Africa, reducing need for patients to travel abroad for cancer treatments
Revenue: USD 7.98Mn
EBITDA: USD 2.27Mn
Total Assets: 18.75Mn",Equity,Majority,15.0,Closed & Reopened,Ruai Family Hospital,1 December 2021,Evans M,Yes,Yes,Yes,Yes,n/a
Project Nitrate,Healthcare,"Profile: The hospital was started in 2005 with a vision to bridge the gap in the radiotherapy services that were lacking in the region. Since then, the hospital has evolved into a dynamic healthcare institution that offers cutting-edge radio therapy services for both malignant and non-malignant conditions and provides comprehensive oncology services. Apart from radiotherapy services, the hospital other main services include Nuclear Medicine services, chemotherapy services, pharmacy, and laboratory services
Revenue: USD  1.06Mn
EBITDA: USD 0.21Mn
Total Assets: USD 3.23Mn",Equity,Minority,2.0,Open,Nairobi Radiotherapy and Cancer Center,29 August 2023,Duncan M,Yes,Yes,Yes,Yes,n/a
